,ID,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
,92,"Habetwold, J., Gordon, R.J., Wood, J.D., Wagner-Riddle, C., VanderZaag, A.C., Dunfield, K.E.",57192949099;56653882200;55705249800;6701603287;25723924700;6505851121;,Dairy manure total solid levels impact CH4 flux and abundance of methanogenic archaeal communities,2017,Journal of Environmental Quality,46,1,,232,236,,8,10.2134/jeq2016.11.0451,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009383203&doi=10.2134%2fjeq2016.11.0451&partnerID=40&md5=26edb20ee4839319ba91c34a9b1604d8,Article,Final,,Scopus,2-s2.0-85009383203
,93,"Lin, S., Hernandez-Ramirez, G., Kryzanowski, L., Wallace, T., Grant, R., Degenhardt, R., Berger, N., Lohstraeter, G.",57200273603;26030319400;6701777678;57200275588;7402006329;8585870800;57200278058;57200281885;,Timing of manure injection and nitrification inhibitors impacts on nitrous oxide emissions and nitrogen transformations in a barley crop,2017,Soil Science Society of America Journal,81,6,,1595,1605,,28,10.2136/sssaj2017.03.0093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040632952&doi=10.2136%2fsssaj2017.03.0093&partnerID=40&md5=764a4189280445b2f260b6f038bf7109,Article,Final,,Scopus,2-s2.0-85040632952
,94,"Thomas, B.W., Gao, X., Beck, R., Hao, X.",55981798700;57191957671;8962916700;7202000550;,Are distinct nitrous oxide emission factors required for cattle urine and dung deposited on pasture in western Canada?,2017,Environmental Science and Pollution Research,24,33,,26142,26147,,12,10.1007/s11356-017-0392-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031714041&doi=10.1007%2fs11356-017-0392-5&partnerID=40&md5=f39284c7489e8bf126d398680734a988,Article,Final,,Scopus,2-s2.0-85031714041
,95,"Thivierge, M.-N., Jégo, G., Bélanger, G., Chantigny, M.H., Rotz, C.A., Charbonneau, É., Baron, V.S., Qian, B.",56230313200;23767941600;55584175400;6603601520;57203044260;56117671100;7006827007;7102420657;,Projected impact of future climate conditions on the agronomic and environmental performance of Canadian dairy farms,2017,Agricultural Systems,157,,,241,257,,10,10.1016/j.agsy.2017.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027520901&doi=10.1016%2fj.agsy.2017.07.003&partnerID=40&md5=901b6619855eb1218744bf0c5791af0a,Article,Final,,Scopus,2-s2.0-85027520901
Micro,96,"Sulaiman, M.F., Wagner-Riddle, C., Brown, S.E., Warland, J., Voroney, P., Rochette, P.",57194229903;6701603287;7501419797;6602508753;7004239094;7006811223;,Greenhouse gas mitigation potential of annual and perennial dairy feed crop systems,2017,"Agriculture, Ecosystems and Environment",245,,,52,62,,5,10.1016/j.agee.2017.05.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019376812&doi=10.1016%2fj.agee.2017.05.001&partnerID=40&md5=ff84205e99308b9226edbf71eeb4443b,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85019376812
,97,"Guyader, J., Little, S., Kröbel, R., Benchaar, C., Beauchemin, K.A.",56293575800;15829656200;35113464800;6602579949;7006478754;,Comparison of greenhouse gas emissions from corn- and barley-based dairy production systems in Eastern Canada,2017,Agricultural Systems,152,,,38,46,,9,10.1016/j.agsy.2016.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006862690&doi=10.1016%2fj.agsy.2016.12.002&partnerID=40&md5=07aaaef67045fe4865e81b960dbc6331,Article,Final,,Scopus,2-s2.0-85006862690
,98,"Cambareri, G., Drury, C., Lauzon, J., Salas, W., Wagner-Riddle, C.",57193517478;7102825449;7004276343;6701773971;6701603287;,Year-Round Nitrous Oxide Emissions as Affected by Timing and Method of Dairy Manure Application to Corn,2017,Soil Science Society of America Journal,81,1,,166,178,,23,10.2136/sssaj2016.05.0160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014560384&doi=10.2136%2fsssaj2016.05.0160&partnerID=40&md5=fdc9e84db90845c1c72148f793d7d501,Article,Final,,Scopus,2-s2.0-85014560384
,99,"Taylor, A.M., Amiro, B.D., Tenuta, M., Gervais, M.",55879404200;7005032114;6603063269;35740504900;,Direct whole-farm greenhouse gas flux measurements for a beef cattle operation,2017,"Agriculture, Ecosystems and Environment",239,,,65,79,,6,10.1016/j.agee.2017.01.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009997713&doi=10.1016%2fj.agee.2017.01.011&partnerID=40&md5=1735c3c8dbbfb65de766b7eb9458438b,Article,Final,,Scopus,2-s2.0-85009997713
,100,"Guest, G., Smith, W., Grant, B., VanderZaag, A., Desjardins, R., McConkey, B.",53871285200;56328807300;8503817300;25723924700;7102933062;7005816927;,A comparative life cycle assessment highlighting the trade-offs of a liquid manure separator-composter in a Canadian dairy farm system,2017,Journal of Cleaner Production,143,,,824,835,,12,10.1016/j.jclepro.2016.12.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008967186&doi=10.1016%2fj.jclepro.2016.12.041&partnerID=40&md5=4b22220f0175f093166f8ed31fb398fb,Article,Final,,Scopus,2-s2.0-85008967186
,101,"Alemu, A.W., Amiro, B.D., Bittman, S., MacDonald, D., Ominski, K.H.",37010796000;7005032114;55886851400;35120461000;6506052427;,Greenhouse gas emission of Canadian cow-calf operations: A whole-farm assessment of 295 farms,2017,Agricultural Systems,151,,,73,83,,18,10.1016/j.agsy.2016.11.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999850021&doi=10.1016%2fj.agsy.2016.11.013&partnerID=40&md5=96a7fb99440509f7cc4e0dbd345685b7,Article,Final,,Scopus,2-s2.0-84999850021
,102,"Li, P., Lang, M., Li, C., Hao, X.",57200090740;26433570200;54789061000;7202000550;,Nitrous oxide and carbon dioxide emissions from soils amended with compost and manure from cattle fed diets containing wheat dried distillers’ grains with solubles,2016,Canadian Journal of Soil Science,97,3,,522,531,,18,10.1139/cjss-2016-0068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028728500&doi=10.1139%2fcjss-2016-0068&partnerID=40&md5=5fe0b3d90a20f6281edfa92bc332a4ca,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85028728500
,103,"Giweta, M., Dyck, M.F., Malhi, S.S.",56321969300;18633363500;7006903865;,Growing season nitrous oxide emissions from a gray luvisol as a function of long-term fertilization history and crop rotation,2016,Canadian Journal of Soil Science,97,3,,474,486,,12,10.1139/cjss-2016-0106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028719593&doi=10.1139%2fcjss-2016-0106&partnerID=40&md5=7535e26abaecb6570a2f3428fe68c2d8,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85028719593
,104,"Riche, E.L.L., Vanderzaag, A.C., Wagner-Riddle, C., Dunfield, K., Sokolov, V.K., Gordon, R.",57195546576;25723924700;6701603287;6505851121;57195545151;56653882200;,Do volatile solids from bedding materials increase greenhouse gas emissions for stored dairy manure?,2016,Canadian Journal of Soil Science,97,3,,512,521,,12,10.1139/cjss-2016-0119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028715128&doi=10.1139%2fcjss-2016-0119&partnerID=40&md5=6885ece1948110977ef22510b64e41b9,Article,Final,,Scopus,2-s2.0-85028715128
,105,"Chantigny, M.H., Rochette, P., Angers, D.A., Goyer, C., Brin, L.D., Bertrand, N.",6603601520;7006811223;56229128600;57205609619;35730870500;7005281616;,Nongrowing season N2O and CO2 emissions — temporal dynamics and influence of soil texture and fall-applied manure,2016,Canadian Journal of Soil Science,97,3,,452,464,,32,10.1139/cjss-2016-0110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028703456&doi=10.1139%2fcjss-2016-0110&partnerID=40&md5=7056149fc0b50c18483e5f57e3177408,Article,Final,,Scopus,2-s2.0-85028703456
,106,"Withey, J.M., Mugo, S.M., Zhou, T., Rosser, P.M., Gao, T.",57211931389;6503932875;56999621900;57000249400;36489262800;,Depletion of hormones and antimicrobials in cattle manure using thermophilic anaerobic digestion,2016,Journal of Chemical Technology and Biotechnology,91,9,,2404,2411,,9,10.1002/jctb.4823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949678383&doi=10.1002%2fjctb.4823&partnerID=40&md5=cd71907410255ca5b64b353815a92969,Article,Final,,Scopus,2-s2.0-84949678383
,107,"Baldé, H., VanderZaag, A.C., Burtt, S., Evans, L., Wagner-Riddle, C., Desjardins, R.L., MacDonald, J.D.",55542124400;25723924700;14026536800;57189875470;6701603287;7102933062;35120461000;,Measured versus modeled methane emissions from separated liquid dairy manure show large model underestimates,2016,"Agriculture, Ecosystems and Environment",230,,,261,270,,40,10.1016/j.agee.2016.06.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975261832&doi=10.1016%2fj.agee.2016.06.016&partnerID=40&md5=d3507b1e80d5fe0b85bc751ff22c5c86,Article,Final,,Scopus,2-s2.0-84975261832
,108,"Saady, N.M.C., Massé, D.I.",36459160400;7006105335;,Feasibility and performance of high-rate psychrophilic dry anaerobic digestion of high solids content dairy manure,2016,International Journal of Recycling of Organic Waste in Agriculture,5,1,,33,42,,2,10.1007/s40093-016-0115-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964270862&doi=10.1007%2fs40093-016-0115-9&partnerID=40&md5=7193e4fcc63bb40345abfbb4286accd7,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-84964270862
,109,"Lee, C., Araujo, R.C., Koenig, K.M., Hile, M.L., Fabian-Wheeler, E.E., Beauchemin, K.A.",56067764800;34876490400;7102611067;6603668957;7102049073;7006478754;,Effects of feeding encapsulated nitrate to beef cattle on ammonia and greenhouse gas emissions from their manure in a short-term manure storage system,2016,Journal of Environmental Quality,45,6,,1979,1987,,5,10.2134/jeq2016.02.0056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006379684&doi=10.2134%2fjeq2016.02.0056&partnerID=40&md5=21df33a66d83cc356027b9e4da323b42,Article,Final,,Scopus,2-s2.0-85006379684
,110,"Baldé, H., VanderZaag, A.C., Burtt, S.D., Gordon, R.J., Desjardins, R.L.",55542124400;25723924700;14026536800;56653882200;7102933062;,Does Fall Removal of the Dairy Manure Sludge in a Storage Tank Reduce Subsequent Methane Emissions?,2016,Journal of Environmental Quality,45,6,,2038,2043,,14,10.2134/jeq2016.03.0083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006373164&doi=10.2134%2fjeq2016.03.0083&partnerID=40&md5=a78a2fbc9f208d92a4b45ae2ff9454e6,Article,Final,,Scopus,2-s2.0-85006373164
,111,"Ngwabie, N.M., Gordon, R.J., VanderZaag, A., Dunfield, K., Sissoko, A., Wagner-Riddle, C.",22035467700;56653882200;25723924700;6505851121;35738017600;6701603287;,The Extent of Manure Removal from Storages and Its Impact on Gaseous Emissions,2016,Journal of Environmental Quality,45,6,,2023,2029,,12,10.2134/jeq2016.01.0004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006364694&doi=10.2134%2fjeq2016.01.0004&partnerID=40&md5=60f4c13a5bbcbfb51bd6a2528cc1a056,Article,Final,,Scopus,2-s2.0-85006364694
,112,"Tang, X., Hao, X., Xu, S., Larney, F.J.",57202146691;7202000550;16302570400;7004265800;,"Residual effects of novel versus traditional organic amendments for rain-fed notill barley: Yield, nutrient uptake, and N2O emissions",2016,Compost Science and Utilization,24,4,,219,229,,1,10.1080/1065657X.2015.1135766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964430204&doi=10.1080%2f1065657X.2015.1135766&partnerID=40&md5=13c6874ac77f724849e4eb3d2e6e3c4f,Article,Final,,Scopus,2-s2.0-84964430204
,113,"Le Riche, E.L., VanderZaag, A.C., Wood, J.D., Wagner-Riddle, C., Dunfield, K., Ngwabie, N.M., McCabe, J., Gordon, R.J.",57192435812;25723924700;55705249800;6701603287;6505851121;22035467700;57192439409;56653882200;,Greenhouse gas emissions from stored dairy slurry from multiple farms,2016,Journal of Environmental Quality,45,6,,1822,1828,,13,10.2134/jeq2016.04.0122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006414918&doi=10.2134%2fjeq2016.04.0122&partnerID=40&md5=e2da9edeaf65785c12cf5e1c82d0318a,Article,Final,,Scopus,2-s2.0-85006414918
,114,"Alemu, A.W., Ominski, K.H., Tenuta, M., Amiro, B.D., Kebreab, E.",37010796000;6506052427;6603063269;7005032114;10239902300;,Evaluation of greenhouse gas emissions from HOG manure application in a Canadian cow-calf production system using whole-farm models,2016,Animal Production Science,56,10,,1722,1737,,4,10.1071/AN14994,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984923151&doi=10.1071%2fAN14994&partnerID=40&md5=0cf7ced047994415c4e34ed6716199cb,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84984923151
,115,"Cuéllar, M.A., Allaire, S.E., Lange, S.F., Bradley, R.L., Parsons, W.F.J., Rivest, D., Cogliastro, A.",57195542748;24821827300;24341199800;7401459915;7101626577;22942430100;6603214557;,Greenhouse gas dynamics in a tree-based intercropping system compared with an organic conventional system,2016,Canadian Journal of Soil Science,97,3,,382,393,,5,10.1139/cjss-2016-0081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028716042&doi=10.1139%2fcjss-2016-0081&partnerID=40&md5=2aa27ee1507b06d3fa5f6208bd7ec2d7,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85028716042
,116,"Cambareri, G., Wagner-Riddle, C., Drury, C., Lauzon, J., Salas, W.",57193517478;6701603287;7102825449;7004276343;6701773971;,Anaerobically digested dairy manure as an alternative nitrogen source to mitigate nitrous oxide emissions in fall-fertilized corn,2016,Canadian Journal of Soil Science,97,3,,439,451,,13,10.1139/cjss-2016-0097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028714828&doi=10.1139%2fcjss-2016-0097&partnerID=40&md5=57b33935e70d02bce91baa056436f7e9,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85028714828
,117,"Baldé, H., VanderZaag, A.C., Burtt, S.D., Wagner-Riddle, C., Crolla, A., Desjardins, R.L., MacDonald, D.J.",55542124400;25723924700;14026536800;6701603287;8657914400;7102933062;35120461000;,Methane emissions from digestate at an agricultural biogas plant,2016,Bioresource Technology,216,,,914,922,,51,10.1016/j.biortech.2016.06.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975217811&doi=10.1016%2fj.biortech.2016.06.031&partnerID=40&md5=c84e4418c441de38947271187b799abb,Article,Final,,Scopus,2-s2.0-84975217811
,118,"Nikièma, P., Akinremi, O.O., Tenuta, M.",24332538100;6603763345;6603063269;,Nitrous oxide emissions as affected by liquid and solid pig manures applied to annual and perennial forage crops on a sandy loam soil,2016,Canadian Journal of Soil Science,96,4,,361,371,,10,10.1139/cjss-2015-0052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995699448&doi=10.1139%2fcjss-2015-0052&partnerID=40&md5=36a4dfed9db27fadf6aa7dbd804e0cae,Article,Final,,Scopus,2-s2.0-84995699448
,119,"Massé, D.I., Jarret, G., Hassanat, F., Benchaar, C., Saady, N.M.C.",7006105335;37077136700;8310982300;6602579949;36459160400;,Effect of increasing levels of corn silage in an alfalfa-based dairy cow diet and of manure management practices on manure fugitive methane emissions,2016,"Agriculture, Ecosystems and Environment",221,,,109,114,,17,10.1016/j.agee.2016.01.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956767276&doi=10.1016%2fj.agee.2016.01.018&partnerID=40&md5=af1a458587ae7c01d80ca4f3caccd21d,Article,Final,,Scopus,2-s2.0-84956767276
,120,"Chai, L., Kröbel, R., MacDonald, D., Bittman, S., Beauchemin, K.A., Janzen, H.H., McGinn, S.M., Vanderzaag, A.",26028749800;35113464800;35120461000;55886851400;7006478754;7005291724;7003958724;25723924700;,An ecoregion-specific ammonia emissions inventory of Ontario dairy farming: Mitigation potential of diet and manure management practices,2016,Atmospheric Environment,126,,,1,14,,14,10.1016/j.atmosenv.2015.11.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949257862&doi=10.1016%2fj.atmosenv.2015.11.030&partnerID=40&md5=b0354efdb4247a6f476d6a1838c89675,Article,Final,,Scopus,2-s2.0-84949257862
,121,"Schwager, E.A., VanderZaag, A.C., Wagner-Riddle, C., Crolla, A., Kinsley, C., Gregorich, E.",57192435464;25723924700;6701603287;8657914400;20433611500;7004740684;,Field Nitrogen Losses Induced by Application Timing of Digestate from Dairy Manure Biogas Production,2016,Journal of Environmental Quality,45,6,,1829,1837,,14,10.2134/jeq2016.04.0148,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006341551&doi=10.2134%2fjeq2016.04.0148&partnerID=40&md5=b6376fb816d2c073da02a7f0ad63a4c8,Article,Final,,Scopus,2-s2.0-85006341551
,122,"Alemu, A.W., Janzen, H., Little, S., Hao, X., Thompson, D.J., Baron, V., Iwaasa, A., Beauchemin, K.A., Kröbel, R.",37010796000;7005291724;15829656200;7202000550;7404934422;7006827007;6602807892;7006478754;35113464800;,Assessment of grazing management on farm greenhouse gas intensity of beef production systems in the Canadian Prairies using life cycle assessment,2016,Agricultural Systems,158,,,1,13,,27,10.1016/j.agsy.2017.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027710059&doi=10.1016%2fj.agsy.2017.08.003&partnerID=40&md5=aa7807efc61b05c6c1d7577db558896a,Article,Final,,Scopus,2-s2.0-85027710059
,123,"Hao, X.",7202000550;,Nitrous Oxide and Carbon Dioxide Emissions During the Nongrowing Season from Manured Soils under Rainfed and Irrigated Conditions,2015,Geomicrobiology Journal,32,7,,648,654,,11,10.1080/01490451.2014.920940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940175116&doi=10.1080%2f01490451.2014.920940&partnerID=40&md5=86cc4979221d096e1f259d22eb5e7625,Article,Final,,Scopus,2-s2.0-84940175116
,124,"Benchaar, C., Hassanat, F., Martineau, R., Gervais, R.",6602579949;8310982300;9434011700;24476075000;,"Linseed oil supplementation to dairy cows fed diets based on red clover silage or corn silage: Effects on methane production, rumen fermentation, nutrient digestibility, N balance, and milk production",2015,Journal of Dairy Science,98,11,73918,7993,8008,,57,10.3168/jds.2015-9398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944173391&doi=10.3168%2fjds.2015-9398&partnerID=40&md5=c680dd4da592c2f92f0ff7a968ef0dba,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84944173391
,125,"Massé, D.I., Saady, N.M.C.",7006105335;36459160400;,High rate psychrophilic anaerobic digestion of undiluted dairy cow feces,2015,Bioresource Technology,187,,,128,135,,8,10.1016/j.biortech.2015.03.110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926370366&doi=10.1016%2fj.biortech.2015.03.110&partnerID=40&md5=cd5550adc320eb2e435b632ffcc71649,Article,Final,,Scopus,2-s2.0-84926370366
,126,"Saady, N.M.C., Massé, D.I.",36459160400;7006105335;,Impact of organic loading rate on the performance of psychrophilic dry anaerobic digestion of dairy manure and wheat straw: Long-term operation,2015,Bioresource Technology,182,,,50,57,,23,10.1016/j.biortech.2015.01.065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922513952&doi=10.1016%2fj.biortech.2015.01.065&partnerID=40&md5=0c4237f2d5ac18c598fcb0b93e75b716,Article,Final,,Scopus,2-s2.0-84922513952
,127,"Tatti, E., Goyer, C., Chantigny, M., Wertz, S., Zebarth, B.J., Burton, D.L., Filion, M.",12787490800;57205609619;6603601520;23394191900;7003618659;7401576925;7005067689;,Influences of over winter conditions on denitrification and nitrous oxide-producing microorganism abundance and structure in an agricultural soil amended with different nitrogen sources,2014,"Agriculture, Ecosystems and Environment",183,,,47,59,,44,10.1016/j.agee.2013.10.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888067451&doi=10.1016%2fj.agee.2013.10.021&partnerID=40&md5=11f79daac4d96c9af2a66b16d9081da4,Article,Final,,Scopus,2-s2.0-84888067451
,128,"Stewart, A.A., Alemu, A.W., Ominski, K.H., Wilson, C.H., Tremorin, D.G., Wittenberg, K.M., Tenuta, M., Janzen, H.H.",26024479500;37010796000;6506052427;57199052844;35788337100;7004232752;6603063269;7005291724;,Whole-farm greenhouse gas emissions from a backgrounding beef production system using an observation-based and model-based approach,2014,Canadian Journal of Animal Science,94,3,,463,477,,1,10.4141/CJAS2013-193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930786194&doi=10.4141%2fCJAS2013-193&partnerID=40&md5=7e5ac337d6bcee1a51af71e8a3453176,Article,Final,,Scopus,2-s2.0-84930786194
,129,"Rochette, P., Chantigny, M.H., Ziadi, N., Angers, D.A., Bélanger, G., Charbonneau, É., Pellerin, D., Liang, C., Bertrand, N.",7006811223;6603601520;6602320281;56229128600;55584175400;56117671100;56283439800;7202071193;7005281616;,Soil nitrous oxide emissions after deposition of dairy cow excreta in Eastern Canada,2014,Journal of Environmental Quality,43,3,,829,841,,37,10.2134/jeq2013.11.0474,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900549609&doi=10.2134%2fjeq2013.11.0474&partnerID=40&md5=7097632651a9ef66951d2522a515bbfa,Article,Final,,Scopus,2-s2.0-84900549609
,130,"Hünerberg, M., Little, S.M., Beauchemin, K.A., McGinn, S.M., O'Connor, D., Okine, E.K., Harstad, O.M., Kröbel, R., McAllister, T.A.",55780111300;15829656200;7006478754;7003958724;56025432900;7006484930;6602083222;35113464800;7102068695;,"Feeding high concentrations of corn dried distillers' grains decreases methane, but increases nitrous oxide emissions from beef cattle production",2014,Agricultural Systems,127,,,19,27,,35,10.1016/j.agsy.2014.01.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899969844&doi=10.1016%2fj.agsy.2014.01.005&partnerID=40&md5=e7fcc43e58e0960dfe4ec9c6131a3878,Article,Final,,Scopus,2-s2.0-84899969844
,131,"Gao, X., Tenuta, M., Buckley, K.E., Zvomuya, F., Ominski, K.",55576924800;6603063269;36869039200;8672650500;6506052427;,Greenhouse gas emissions from pig slurry applied to forage legumes on a loamy sand soil in south central Manitoba,2014,Canadian Journal of Soil Science,94,2,,149,155,,6,10.4141/CJSS2013-117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899871422&doi=10.4141%2fCJSS2013-117&partnerID=40&md5=b0759538db0104802a083d31d2266885,Article,Final,,Scopus,2-s2.0-84899871422
,132,"Asgedom, H., Tenuta, M., Flaten, D.N., Gao, X., Kebreab, E.",6505589291;6603063269;6602433212;55576924800;10239902300;,Nitrous oxide emissions from a clay soil receiving granular urea formulations and dairy manure,2014,Agronomy Journal,106,2,,732,744,,61,10.2134/agronj2013.0096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895766303&doi=10.2134%2fagronj2013.0096&partnerID=40&md5=ec4bea0186b6ddb79ec8ab7ff572f6da,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84895766303
,133,"Tartakovsky, B., Mehta, P., Santoyo, G., Roy, C., Frigon, J.-C., Guiot, S.R.",8042885600;35885852400;46861434900;36850056200;6701327689;7005531300;,Electrolysis-enhanced co-digestion of switchgrass and cow manure,2014,Journal of Chemical Technology and Biotechnology,89,10,,1501,1506,,12,10.1002/jctb.4224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027956893&doi=10.1002%2fjctb.4224&partnerID=40&md5=5654d20c0dd1fb1b505c3f854e6609e8,Article,Final,,Scopus,2-s2.0-85027956893
,134,"Ngwabie, N.M., Vanderzaag, A., Jayasundara, S., Wagner-Riddle, C.",22035467700;25723924700;18436857700;6701603287;,Measurements of emission factors from a naturally ventilated commercial barn for dairy cows in a cold climate,2014,Biosystems Engineering,127,,,103,114,,28,10.1016/j.biosystemseng.2014.08.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907253256&doi=10.1016%2fj.biosystemseng.2014.08.016&partnerID=40&md5=e9941c90dd416172922f039d8348234e,Article,Final,,Scopus,2-s2.0-84907253256
,135,"VanderZaag, A.C., Flesch, T.K., Desjardins, R.L., Baldé, H., Wright, T.",25723924700;6602858717;7102933062;55542124400;55425983300;,Measuring methane emissions from two dairy farms: Seasonal and manure-management effects,2014,Agricultural and Forest Meteorology,194,,,259,267,,51,10.1016/j.agrformet.2014.02.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902279075&doi=10.1016%2fj.agrformet.2014.02.003&partnerID=40&md5=d3b0f15c38f7d1d038098fadb8c11c60,Article,Final,,Scopus,2-s2.0-84902279075
,136,"Rees, H.W., Chow, T.L., Zebarth, B., Xing, Z., Toner, P., Lavoie, J., Daigle, J.-L.",7102294895;7203012087;7003618659;8888998500;24172071700;56271235700;7006338718;,Impact of supplemental poultry manure application on potato yield and soil properties on a loam soil in north-western New Brunswick,2014,Canadian Journal of Soil Science,94,1,,49,65,,34,10.4141/CJSS2013-009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893977054&doi=10.4141%2fCJSS2013-009&partnerID=40&md5=85c4eb67dfa05bfa55f149e06daa3539,Article,Final,,Scopus,2-s2.0-84893977054
,137,"Wood, J.D., VanderZaag, A.C., Wagner-Riddle, C., Smith, E.L., Gordon, R.J.",55705249800;25723924700;6701603287;56852607900;56653882200;,Gas emissions from liquid dairy manure: Complete versus partial storage emptying,2014,Nutrient Cycling in Agroecosystems,99,1,,95,105,,26,10.1007/s10705-014-9620-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027919907&doi=10.1007%2fs10705-014-9620-2&partnerID=40&md5=740c52cd0832c2dd26d0c29295d091ee,Article,Final,,Scopus,2-s2.0-85027919907
,138,"Drury, C.F., Reynolds, W.D., Yang, X.M., Tan, C.S., Guo, X., McKenney, D.J., Fleming, R., Denholme, K.",7102825449;35616572500;55683814200;7402818349;37040346200;7006555520;7201622789;56322035900;,"Influence of compost source on corn grain yields, nitrous oxide and carbon dioxide emissions in southwestern Ontario",2014,Canadian Journal of Soil Science,94,3,,347,355,,8,10.4141/CJSS2013-077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905916504&doi=10.4141%2fCJSS2013-077&partnerID=40&md5=86f60774d5157354b7e744192c06167e,Article,Final,,Scopus,2-s2.0-84905916504
,139,"Jayasundara, S., Wagner-Riddle, C.",18436857700;6701603287;,Greenhouse gas emissions intensity of Ontario milk production in 2011 compared with 1991,2014,Canadian Journal of Animal Science,94,1,,155,173,,27,10.4141/CJAS2013-127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897747769&doi=10.4141%2fCJAS2013-127&partnerID=40&md5=6bb855e5dbce2d7b170cc0462a31d1b9,Article,Final,,Scopus,2-s2.0-84897747769
,140,"Massé, D.I., Rajagopal, R., Singh, G.",7006105335;8575702600;7404166776;,Technical and operational feasibility of psychrophilic anaerobic digestion biotechnology for processing ammonia-rich waste,2014,Applied Energy,120,,,49,55,,65,10.1016/j.apenergy.2014.01.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893648376&doi=10.1016%2fj.apenergy.2014.01.034&partnerID=40&md5=f8d7e66fe492b63622783187febf368c,Article,Final,,Scopus,2-s2.0-84893648376
Micro,141,"Taylor, A.M., Amiro, B.D., Fraser, T.J.",55879404200;7005032114;55813031300;,"Net CO2 exchange and carbon budgets of a three-year crop rotation following conversion of perennial lands to annual cropping in Manitoba, Canada",2013,Agricultural and Forest Meteorology,182-183,,,67,75,,21,10.1016/j.agrformet.2013.07.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884185239&doi=10.1016%2fj.agrformet.2013.07.008&partnerID=40&md5=9a4f8a150fb0290b4aa8f39bfb7d7ba7,Article,Final,,Scopus,2-s2.0-84884185239
